##data,format,,,,,
##objectcode,blockX,blockY,functionParameter(0[enter],1[interact],2[step],3[exit])
11,18,0,2[18/18/false/none],0[route_101],,
11,19,0,2[19/18/false/none],0[route_101],,
1,0,1,,,,
1,2,1,,,,
1,4,1,,,,
1,6,1,,,,
1,8,1,,,,
1,10,1,,,,
1,12,1,,,,
1,14,1,,,,
1,16,1,,,,
1,20,1,,,,
1,22,1,,,,
1,24,1,,,,
1,26,1,,,,
1,28,1,,,,
1,30,1,,,,
1,32,1,,,,
1,34,1,,,,
1,0,3,,,,
1,2,3,,,,
1,4,3,,,,
1,6,3,,,,
1,8,3,,,,
1,10,3,,,,
1,12,3,,,,
1,14,3,,,,
1,16,3,,,,
1,20,3,,,,
1,22,3,,,,
1,24,3,,,,
1,26,3,,,,
1,28,3,,,,
1,30,3,,,,
1,32,3,,,,
1,34,3,,,,
1,0,5,,,,
1,2,5,,,,
1,4,5,,,,
1,6,5,,,,
1,8,5,,,,
1,10,5,,,,
1,12,5,,,,
1,14,5,,,,
1,16,5,,,,
1,20,5,,,,
1,22,5,,,,
1,24,5,,,,
1,26,5,,,,
1,28,5,,,,
1,30,5,,,,
1,32,5,,,,
1,34,5,,,,
1,0,7,,,,
1,2,7,,,,
1,4,7,,,,
1,6,7,,,,
1,8,7,,,,
1,26,7,,,,
1,28,7,,,,
1,30,7,,,,
1,32,7,,,,
1,34,7,,,,
1,0,9,,,,
1,2,9,,,,
1,4,9,,,,
1,6,9,,,,
1,28,9,,,,
1,30,9,,,,
1,32,9,,,,
1,34,9,,,,
1,0,11,,,,
1,2,11,,,,
1,4,11,,,,
1,6,11,,,,
1,28,11,,,,
1,30,11,,,,
1,32,11,,,,
1,34,11,,,,
1,0,13,,,,
1,2,13,,,,
1,4,13,,,,
1,6,13,,,,
1,28,13,,,,
1,30,13,,,,
1,32,13,,,,
1,34,13,,,,
1,0,15,,,,
1,2,15,,,,
1,4,15,,,,
1,6,15,,,,
1,28,15,,,,
1,30,15,,,,
1,32,15,,,,
1,34,15,,,,
1,0,17,,,,
1,2,17,,,,
1,4,17,,,,
1,6,17,,,,
1,28,17,,,,
1,30,17,,,,
1,32,17,,,,
1,34,17,,,,
1,0,19,,,,
1,2,19,,,,
1,4,19,,,,
1,6,19,,,,
1,28,19,,,,
1,30,19,,,,
1,32,19,,,,
1,34,19,,,,
1,0,21,,,,
1,2,21,,,,
1,4,21,,,,
1,6,21,,,,
1,26,21,,,,
1,28,21,,,,
1,30,21,,,,
1,32,21,,,,
1,34,21,,,,
1,0,23,,,,
1,2,23,,,,
1,4,23,,,,
1,6,23,,,,
1,8,23,,,,
1,24,23,,,,
1,26,23,,,,
1,28,23,,,,
1,30,23,,,,
1,32,23,,,,
1,34,23,,,,
1,0,25,,,,
1,2,25,,,,
1,4,25,,,,
1,6,25,,,,
1,8,25,,,,
1,10,25,,,,
1,12,25,,,,
1,14,25,,,,
1,16,25,,,,
1,18,25,,,,
1,20,25,,,,
1,22,25,,,,
1,24,25,,,,
1,26,25,,,,
1,28,25,,,,
1,30,25,,,,
1,32,25,,,,
1,34,25,,,,
1,0,27,,,,
1,2,27,,,,
1,4,27,,,,
1,6,27,,,,
1,8,27,,,,
1,10,27,,,,
1,12,27,,,,
1,14,27,,,,
1,16,27,,,,
1,18,27,,,,
1,20,27,,,,
1,22,27,,,,
1,24,27,,,,
1,26,27,,,,
1,28,27,,,,
1,30,27,,,,
1,32,27,,,,
1,34,27,,,,
1,0,29,,,,
1,2,29,,,,
1,4,29,,,,
1,6,29,,,,
1,8,29,,,,
1,10,29,,,,
1,12,29,,,,
1,14,29,,,,
1,16,29,,,,
1,18,29,,,,
1,20,29,,,,
1,22,29,,,,
1,24,29,,,,
1,26,29,,,,
1,28,29,,,,
1,30,29,,,,
1,32,29,,,,
1,34,29,,,,
3,10,12,,,,
4,21,12,,,,
5,11,20,,,,
6,13,12,2[littleroot_house1/9/8/true/door_open],0[20],,
6,22,12,2[beta/7/7/true/door_open],0[20],,
7,15,20,2[beta/7/7/true/door_open],0[z20],,
8,15,12,1[MY HOUSE],,,
8,20,12,1[PROF.BIRCH'S HOUSE],,,
8,23,17,"1[LITTLEROOT TOWN@@@t""A town that can't be shaded any hue.""]",,,
8,14,21,1[PROF.BIRCH'S POKEMON LAB],,,
9,13,13,,,,
9,22,13,,,,
9,15,21,,,,
10,27,11,,,,
10,8,12,,,,
10,26,12,,,,
10,9,13,,,,
10,27,13,,,,
10,8,14,,,,
10,11,14,,,,
10,24,14,,,,
10,26,14,,,,
10,11,21,,,,
10,12,21,,,,
10,13,21,,,,
10,11,22,,,,
10,12,22,,,,
10,13,22,,,,
