##data,format,,,,,
##objectcode,blockX,blockY,functionParameter(0[enter],1[interact],2[step],3[exit])
11,49,14,2[1/12/false/none],0[oldale],,
11,49,15,2[1/13/false/none],0[oldale],,
1,0,1,,,,
1,2,1,,,,
1,4,1,,,,
1,6,1,,,,
1,8,1,,,,
1,10,1,,,,
1,12,1,,,,
1,14,1,,,,
1,16,1,,,,
1,18,1,,,,
1,20,1,,,,
1,22,1,,,,
1,24,1,,,,
1,26,1,,,,
1,28,1,,,,
1,30,1,,,,
1,32,1,,,,
1,34,1,,,,
1,36,1,,,,
1,38,1,,,,
1,40,1,,,,
1,42,1,,,,
1,44,1,,,,
1,46,1,,,,
1,48,1,,,,
1,0,3,,,,
1,2,3,,,,
1,4,3,,,,
1,6,3,,,,
1,8,3,,,,
1,10,3,,,,
1,12,3,,,,
1,14,3,,,,
1,16,3,,,,
1,18,3,,,,
1,20,3,,,,
1,22,3,,,,
1,24,3,,,,
1,26,3,,,,
1,28,3,,,,
1,30,3,,,,
1,32,3,,,,
1,34,3,,,,
1,36,3,,,,
1,38,3,,,,
1,40,3,,,,
1,42,3,,,,
1,44,3,,,,
1,46,3,,,,
1,48,3,,,,
1,0,5,,,,
1,2,5,,,,
1,4,5,,,,
1,6,5,,,,
1,8,5,,,,
1,10,5,,,,
1,12,5,,,,
1,14,5,,,,
1,16,5,,,,
1,18,5,,,,
1,20,5,,,,
1,22,5,,,,
1,24,5,,,,
1,26,5,,,,
1,28,5,,,,
1,30,5,,,,
1,32,5,,,,
1,34,5,,,,
1,36,5,,,,
1,38,5,,,,
1,40,5,,,,
1,42,5,,,,
1,44,5,,,,
1,46,5,,,,
1,48,5,,,,
1,0,7,,,,
1,2,7,,,,
1,4,7,,,,
1,6,7,,,,
1,28,7,,,,
1,30,7,,,,
1,32,7,,,,
1,34,7,,,,
1,44,7,,,,
1,46,7,,,,
1,48,7,,,,
1,0,9,,,,
1,46,9,,,,
1,48,9,,,,
1,14,11,,,,
1,30,11,,,,
1,46,11,,,,
1,48,11,,,,
1,26,12,,,,
1,28,12,,,,
1,48,13,,,,
1,12,13,,,,
1,14,13,,,,
1,26,14,,,,
1,28,14,,,,
1,30,13,,,,
1,32,13,,,,
1,30,15,,,,
1,32,15,,,,
1,34,15,,,,
1,32,17,,,,
1,34,17,,,,
1,26,16,,,,
1,28,16,,,,
1,0,15,,,,
1,2,15,,,,
1,4,15,,,,
1,6,15,,,,
1,12,15,,,,
1,14,15,,,,
1,0,17,,,,
1,2,17,,,,
1,4,17,,,,
1,10,16,,,,
1,12,17,,,,
1,14,17,,,,
1,48,17,,,,
1,21,18,,,,
1,23,19,,,,
1,0,19,,,,
1,2,19,,,,
1,4,19,,,,
1,12,19,,,,
1,14,19,,,,
1,16,19,,,,
1,44,19,,,,
1,46,19,,,,
1,48,19,,,,
1,0,21,,,,
1,2,21,,,,
1,4,21,,,,
1,10,21,,,,
1,12,21,,,,
1,14,21,,,,
1,16,21,,,,
1,40,21,,,,
1,42,21,,,,
1,44,21,,,,
1,46,21,,,,
1,48,21,,,,
1,0,23,,,,
1,2,23,,,,
1,4,23,,,,
1,6,23,,,,
1,8,23,,,,
1,10,23,,,,
1,12,23,,,,
1,14,23,,,,
1,16,23,,,,
1,18,23,,,,
1,20,23,,,,
1,22,23,,,,
1,32,23,,,,
1,34,23,,,,
1,36,23,,,,
1,38,23,,,,
1,40,23,,,,
1,42,23,,,,
1,44,23,,,,
1,46,23,,,,
1,48,23,,,,
1,0,25,,,,
1,2,25,,,,
1,4,25,,,,
1,6,25,,,,
1,8,25,,,,
1,10,25,,,,
1,12,25,,,,
1,14,25,,,,
1,16,25,,,,
1,18,25,,,,
1,20,25,,,,
1,22,25,,,,
1,24,25,,,,
1,26,25,,,,
1,28,25,,,,
1,30,25,,,,
1,32,25,,,,
1,34,25,,,,
1,36,25,,,,
1,38,25,,,,
1,40,25,,,,
1,42,25,,,,
1,44,25,,,,
1,46,25,,,,
1,48,25,,,,
1,0,27,,,,
1,2,27,,,,
1,4,27,,,,
1,6,27,,,,
1,8,27,,,,
1,10,27,,,,
1,12,27,,,,
1,14,27,,,,
1,16,27,,,,
1,18,27,,,,
1,20,27,,,,
1,22,27,,,,
1,24,27,,,,
1,26,27,,,,
1,28,27,,,,
1,30,27,,,,
1,32,27,,,,
1,34,27,,,,
1,36,27,,,,
1,38,27,,,,
1,40,27,,,,
1,42,27,,,,
1,44,27,,,,
1,46,27,,,,
1,48,27,,,,
1,0,29,,,,
1,2,29,,,,
1,4,29,,,,
1,6,29,,,,
1,8,29,,,,
1,10,29,,,,
1,12,29,,,,
1,14,29,,,,
1,16,29,,,,
1,18,29,,,,
1,20,29,,,,
1,22,29,,,,
1,24,29,,,,
1,26,29,,,,
1,28,29,,,,
1,30,29,,,,
1,32,29,,,,
1,34,29,,,,
1,36,29,,,,
1,38,29,,,,
1,40,29,,,,
1,42,29,,,,
1,44,29,,,,
1,46,29,,,,
1,48,29,,,,
#topleftgrass,,,,,,
2,8,6,3[12],,,
2,9,6,3[12],,,
2,10,6,3[12],,,
2,8,7,3[12],,,
2,9,7,3[12],,,
2,10,7,3[12],,,
2,2,8,3[12],,,
2,3,8,3[12],,,
2,4,8,3[12],,,
2,5,8,3[12],,,
2,6,8,3[12],,,
2,7,8,3[12],,,
2,8,8,3[12],,,
2,9,8,3[12],,,
2,10,8,3[12],,,
2,2,9,3[12],,,
2,3,9,3[12],,,
2,4,9,3[12],,,
2,5,9,3[12],,,
2,6,9,3[12],,,
2,7,9,3[12],,,
2,8,9,3[12],,,
2,9,9,3[12],,,
2,3,10,3[12],,,
2,4,10,3[12],,,
2,5,10,3[12],,,
2,6,10,3[12],,,
2,7,10,3[12],,,
2,8,10,3[12],,,
2,9,10,3[12],,,
2,4,11,3[12],,,
2,5,11,3[12],,,
2,6,11,3[12],,,
2,7,11,3[12],,,
#bottomLeftGrass,,,,,,
2,6,16,3[12],,,
2,7,16,3[12],,,
2,6,17,3[12],,,
2,7,17,3[12],,,
2,6,18,3[12],,,
2,7,18,3[12],,,
